,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1196,1.16,4.144965,0.0531,0
1197,1.11,7.7480944,0.081,0
1198,1.0,15.458057,0.1241,0
1199,1.45,10.2753,0.1047,0
1200,1.02,4.82059,0.0563,0
1201,1.45,42.351427,0.2743,0
1202,0.72,2.6281137,0.031,0
1203,1.15,101.95183,0.4322,0
1204,0.53,56.056054,0.232,1
1205,0.24,4.4855838,0.0295,0
1206,1.0,8.6788859,0.0805,0
1207,1.24,30.254101,0.2043,0
1208,0.84,133.30367,0.4765,0
1209,0.76,8.3608682,0.0744,0
1210,1.04,384.843,1.046,1
1211,1.04,13.724651,0.1116,0
1212,0.95,12.270659,0.1058,0
1213,1.17,13.4845,0.11701316,0
1214,0.94,7.381998,0.073,0
1215,1.0,35.622233,0.2101,0
1216,0.83,5.715442,0.062,0
1217,0.9,9.0709773,0.0854,0
1218,1.18,3.0571007,0.04,0
1219,0.54,35.23319,0.1660747,0
1220,0.73,16.934402,0.115,0
1221,1.17,220.13034,0.7211,0
1222,1.04,5.868075,0.068,0
1223,1.17,6.238297,0.069445292,0
1224,0.51,3.306539,0.035,0
1225,0.54,5.774464,0.051,0
1226,1.34,735.1,1.7611644,0
1227,1.12,280.17,0.89464014,0
1228,0.82,0.85359163,0.017016,0
1229,0.95,7.6588041,0.0723,0
1230,0.68,1891.0,2.64315,0
1231,0.62,13.4586,0.10562071,0
1232,1.1,76.732171,0.364,0
1233,0.75,0.549372,0.00812,0
1234,0.59,1.4520358,0.023,0
1235,1.2,4.2042001,0.054349036,0
1236,0.77,2.453234,0.032,0
1237,0.56,14.5665,0.0962,0
1238,1.24,4.901452,0.060834048,0
1239,1.43,1.09142,0.023223178,0
1240,0.35,0.8602325,0.012396746,0
1241,0.35,3.694284,0.032724868,0
1242,1.86,4.0337142,0.064864013,0
1243,0.95,15.266446,0.13053874,0
1244,0.35,4.9652229,0.04002592,0
1245,1.85,18600.0,17.428125,0
1247,1.06,3.7705521,0.0493,0
1248,1.23,13.774798,0.12046701,0
1249,0.98,623.8,1.431999,0
1250,1.47,110.9,0.5368165,0
1251,1.14,14.479,0.12154574,0
1252,1.8,8617.5095,10.074281,0
1253,1.0,1276.076,2.6285773,0
1254,1.09,18207.721,14.016797,0
